tabla_id	producto	presentacion	precio_farmacia	precio_publico	notas	titulo_presentacion	titulo_precio_farmacia	titulo_precio_publico	stock
oficinales	3 a 99 (D X CH K)	Dilución y escala. Gotas x 30ml / Glóbulos x 30g	23000	43000		Presentación	Precio farmacia	Precio público	
oficinales	100 a 900 (D X CH K)	Dilución y escala. Gotas x 30ml / Glóbulos x 30g	28000	48000		Presentación	Precio farmacia	Precio público	
oficinales	10000+ (D X CH LM)	Dilución y escala. Gotas x 30ml / Glóbulos x 30g	45000	68000		Presentación	Precio farmacia	Precio público	
oficinales	Disponibles también en tabletas	Frasco x 90	40000	63000		Presentación	Precio farmacia	Precio público	
multipotencias	3 a 200 (D X CH K)	Dilución y escala. Gotas x 30ml / Glóbulos x 30g	30000	50000		Presentación	Precio farmacia	Precio público	
multipotencias	1000+ (D CH LM)	Dilución y escala. Gotas x 30ml / Glóbulos x 30g	45000	68000		Presentación	Precio farmacia	Precio público	
multipotencias	Disponibles también en tabletas	Frasco x 90	40000	63000		Presentación	Precio farmacia	Precio público	
magistrales	3 a 900 (D X CH K)	Dilución y escala. Gotas x 30ml / Glóbulos x 30g	33500	54000		Presentación	Precio farmacia	Precio público	
magistrales	1000 o + (D X CH LM)	Dilución y escala. Gotas x 30ml / Glóbulos x 30g	58500	80000		Presentación	Precio farmacia	Precio público	
magistrales	Spray nasal x 30 ml		34500	54000		Presentación	Precio farmacia	Precio público	
magistrales	Elíxir x 240 ml	Endulzados con estevia	39000	60000		Presentación	Precio farmacia	Precio público	
magistrales	Gel o Crema x 120 g	Libres de parabenos	38000	56000		Presentación	Precio farmacia	Precio público	
magistrales	Tabletas 	Frasco x 90	40000	63000		Presentación	Precio farmacia	Precio público	
magistrales	Viales bebibes caja x 12	Cada vial de 10ml	40000	60000		Presentación	Precio farmacia	Precio público	
magistrales	Viales nebulizables caja x 12	Cada vial de 10ml	52000	82000		Presentación	Precio farmacia	Precio público	
esencias_florales_1	Gotas o Spray x 30 ml		18000	28000		Presentación	Precio farmacia	Precio público	
esencias_florales_1	Glóbulos x 30 g		21000	31000		Presentación	Precio farmacia	Precio público	
esencias_florales_1	Primera dilución para terapéutas	Gotero de pera x 30ml	57000			Presentación	Precio farmacia	Precio público	
oligoelementos_1	Oligoelementos Individuales	Gotas o Spray x 30 ml y Glóbulos x 30g	19500	36000		Presentación	Precio farmacia	Precio público	
