id_protocolo	patologia	principales	sistema	complementarios	oligoelementos	topicos	estado
prot_001	Abscesos	Baptisia; Borax	Juglans	Echinacea	Iodo k7 MH	Árnica Crema o Gel	activo
prot_002	Acidez gástrica		Alumina	Abies; Nux vómica			activo
prot_003	Ácido úrico	Benzoicum acidum		Berberis	Magnesio k7 MH		activo
prot_004	Acné rosácea	Kalium bromatum	Cinnamomum o Chimaphila	Graphites; Chelidonium	Zinc k7 MH	Salvia Crema o Gel; Echinacea gel	activo
prot_005	Acné vulgar	Kalium bromatum	Cinnamomum o Chimaphila	Graphites; Árnica	Iodo k7 MH	Salvia Crema o Gel; Echinacea gel; Plata coloidal	activo
prot_006	Acrocianosis	Vipera	Juglans	Hamamelis	Manganeso k7 MH	Aesculus gel	activo
prot_007	Adelgazamiento	Gentiana		Medicago; Conium; MHPHOR	Magnesio k7 MH		activo
prot_008	Adenitis	Juglans		Scrophularia	Zinc k7 MH	Árnica Crema o Gel; Cannabis crema	activo
prot_009	Adenoma prostático	Sabal	Chimaphila	Árnica	Zinc k7 MH	Árnica Crema o Gel	activo
prot_010	Adenopatías	Juglans		Baptisia	Iodo k7 MH		activo
prot_011	Adiposis	Centella		Juglans; Fucus	Zinc k7 MH	Fucus gel; Hedera gel	activo
prot_012	Agorafobia	Borax; Gelsemium	Aurum met	Ignatia	Magnesio k7 MH		activo
prot_013	Agotamiento	Phosphoricum; Conium		Curcuma elíxir; Ruta elíxir	Aurum k7 MH		activo
prot_014	Albuminuria	Berberis	Equisetum	Hydrangea	Magnesio k7 MH		activo
prot_015	Alcoholismo	Nux Vómica 1000CH (una dosis cada 8 o 15 dias)		Chelidonium; Selenium			activo
prot_016	Alergias de piel	Sulphur	Thallium	Graphites	Manganeso k7 MH	Urtica Gel o Crema; Caléndula Crema o Gel	activo
prot_017	Algias	Apis		Árnica; Magnesia	Silicea K7; Iodo k7 MH	Árnica; Cannabis; Cápsicum	activo
prot_018	Alopecia	Thallium viales tópicos; Rosmarinus loción		Psorinum; Calcium phosphoricum	Iodo k7 MH		activo
prot_019	Alzheimer	Conium	Aurum met	Elíxir de Cúrcuma; Elíxir de Ruta	Aurum k7 MH		activo
prot_020	Amebiasis	Teucrium; Rhamnus purshiana	Alumina		Cuprum k7 MH		activo
prot_021	Amenorrea	Cinnamomum		Angélica	Zinc k7 MH		activo
prot_022	Amigdalitis	Borax; Baptisia; Belladona	Juglans	Echinacea; Galium	Iodo k7 MH		activo
prot_023	Andropausia	Damiana	Chimaphila	Agnus	Zinc k7 MH		activo
prot_024	Anemia	Medicago sativum; Conium		Sales de Schussler; Calcium phosphoricum	Hierro k7 MH		activo
prot_025	Anexitis	Baptisia; Árnica; Lilium Óvulos vaginales; Caléndula Óvulos vaginales	Cinnamomum	Echinacea	Iodo k7 MH		activo
prot_026	Angina de pecho	Cactus; Cúrcuma elíxir		Baryta; Ignatia	Hierro k7 MH		activo
prot_027	Anorexia	Gentiana		Selenium; Medicago	Magnesio k7 MH		activo
prot_028	Ansiedad	Selenium; Tratamiento Sist. nerviso	Aurum met	Ignatia	Magnesio k7 MH		activo
prot_029	Antibiótico	Echinacea; Baptisia	Juglans	Galium; Plata Coloidal	Iodo k7 MH	Echinacea crema o gel	activo
prot_030	Apoplejía	Conium; Curcuma elíxir; Stanum cápsulas o spray	Aurum met	Ruta elixir; Zingiber; Phosphoricum acidum	Magnesio k7 MH		activo
prot_031	Aprendizaje	Conium; Elíxir de Ruta		Ruta; Cúrcuma elixir; Zingiber	Silicea K7		activo
prot_032	Arritmia cardíaca	Cactus; Cúrcuma elixir		Baryta	Cobre k7 MH		activo
prot_033	Arteriosclerosis	Glonoinum; Carduus; Curcuma elíxir		Cholesterolum	Hierro k7 MH		activo
prot_034	Artralgia	Harpagophytum cápsulas; Cúrcuma elíxir	Colchicum		Phosphorus k7 MH	Cannabis crema; Cápsicum ungüento	activo
prot_035	Artritis	Harpagophytum cápsulas; Rhus tox	Colchicum	Rhododendron	Cobre k7 MH	Cápsicum ungüento; Cannabis crema; Árnica crema o gel	activo
prot_036	Artrosis	Harpagophytum cápsulas; Rhus tox; Cúrcuma elíxir	Colchicum	Kalmia; Colágeno	Manganeso k7 MH	Cápsicum ungüento; Árnica Crema o Gel	activo
prot_037	Ascaridiasis	Teucrium	Alumina	Casc.sagrada; Echinacea; Plata Coloidal oral	Cuprum k7 MH		activo
prot_038	Ascitis	Chelidonium; Cúrcuma elíxir	Equisetum	Hydrangea	Zinc k7 MH		activo
prot_039	Asma	Ipeca	Kalium bich	Euphatorium	Aurum k7 MH		activo
prot_040	Bacteriuria	Vaccinium	Juglans	Echinacea; Hydrangea	Aurum k7 MH		activo
prot_041	Blefaritis	Euphrasia		Sthapysagria; Echinacea	Iodo k7 MH		activo
prot_042	Bronquitis	Ipeca; Elíxir de Ipeca	Kalium Bich	Bryonia; Galium	Iodo k7 MH		activo
prot_043	Calambres	Magnesia Phos	Colchicum	Cicuta	Cobre k7 MH		activo
prot_044	Cáncer	Conium; Stanum cápsulas o spray; Cúrcuma elíxir	Juglans		Magnesio k7 MH	Hydrocotile crema	activo
prot_045	Candidiasis	Pulsatilla; Lilium Óvulos	Cinnamomum	Viburnum	Iodo k7 MH		activo
prot_046	Caspa	Rosmarinus Loción capilar					activo
prot_047	Cataratas	Euphrasia		Scrophularia; Viscum	Silicea k7 MH		activo
prot_048	Cefalea	Iris		Apis	Silicea K7		activo
prot_049	Celos	Lachesis 200CH; Nux vómica 200CH; Staphysagria 200CH; Apis 200CH; Sepia 200CH					activo
prot_050	Celulitis	Centella asiática	Juglans	tratamiento Detox	Zinc k7 MH	Fucus Gel	activo
prot_051	Ciática	Magnesia phos	Colchicum	Rhododendron; Árnica	Cobre k7 MH	Cannabis crema	activo
prot_052	Cicatrices						activo
prot_053	Circulación periférica	Glonoinum	Cactus	Cúrcuma elíxir; Baryta	Hierro k7 MH		activo
prot_054	Circulación venosa	Hamamelis; Cúrcuma elíxir	Cactus	Ginkgo biloba	Hierro k7 MH	Aesculus Gel; Hamamelis crema o gel	activo
prot_055	Cirrosis hepática	Chelidonium; Conium	Alumina	Cúrcuma elíxir	Cuprum k7 MH		activo
prot_056	Cistitis	Hydrangea	Equisetum	Echinacea; Berberis	Iodo k7 MH		activo
prot_057	Claustrofobia	Argentum nitricum 200CH; Gelsemium	Aurum met	Ignatia	Magnesio k7 MH		activo
prot_058	Colágeno estimulación	Silícea cápsulas		Zingiber	Zinc k7 MH		activo
prot_059	Colelitiasis	Chelidonium; Cúrcuma elíxir		Baptisia; Echinacea	Cuprum k7 MH		activo
